id,name,country,league,url,team_id,formation,overall,attack,midfield,defence,transfer_budget,club_worth,speed,dribbling,passing,positioning,crossing,passing_2,shooting,positioning_2,aggression,pressure,team_width,defender_line,domestic_prestige,international_prestige,players,starting_xi_avg_age,whole_team_avg_age,year
21,FC Bayern München,Germany,Bundesliga,https://sofifa.com/team/21/fc-bayern-munchen/150059/,21,4-3-3 Holding,85,87,85,82,€55M,€0,Balanced,Little,Short,Free form,Little,Normal,Little,Free form,Press,High,Normal,Cover,20,20,31,26.45,24.84,2015
241,FC Barcelona,Spain,La Liga,https://sofifa.com/team/241/fc-barcelona/150059/,241,4-3-3 Holding,84,88,85,81,€80M,€0,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,24,26.45,26.04,2015
243,Real Madrid,Spain,La Liga,https://sofifa.com/team/243/real-madrid/150059/,243,4-3-3 Holding,84,86,83,81,€95M,€0,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,33,26.64,23.55,2015
5,Chelsea,England,Premier League,https://sofifa.com/team/5/chelsea/150059/,5,4-2-3-1 Wide,83,82,82,81,€55M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,33,25.82,22.48,2015
10,Manchester City,England,Premier League,https://sofifa.com/team/10/manchester-city/150059/,10,4-2-3-1 Wide,82,83,82,81,€80M,€0,Balanced,Normal,Short,Free form,Normal,Normal,Little,Free form,Press,Medium,Normal,Cover,18,19,33,28.55,24.7,2015
11,Manchester United,England,Premier League,https://sofifa.com/team/11/manchester-united/150059/,11,4-1-4-1,81,85,80,75,€39M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,31,25.55,23.84,2015
22,Borussia Dortmund,Germany,Bundesliga,https://sofifa.com/team/22/borussia-dortmund/150059/,22,4-2-3-1 Wide,81,79,81,81,€30M,€0,Fast,Normal,Mixed,Organised,Normal,Risky,Normal,Free form,Double,Medium,Normal,Cover,19,18,33,26.09,23.61,2015
73,Paris Saint-Germain,France,Ligue 1,https://sofifa.com/team/73/paris-saint-germain/150059/,73,4-3-3 Holding,81,82,81,80,€120M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,19,18,27,26.82,24.0,2015
1,Arsenal,England,Premier League,https://sofifa.com/team/1/arsenal/150059/,1,4-3-3 Attack,80,80,80,77,€35M,€0,Balanced,Normal,Short,Organised,Normal,Safe,Normal,Free form,Press,Medium,Normal,Cover,18,18,33,25.36,23.3,2015
45,Juventus,Italy,Serie A,https://sofifa.com/team/45/juventus/150059/,45,3-5-2,80,78,78,80,€35M,€0,Balanced,Normal,Short,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,20,19,30,27.55,25.87,2015
240,Atlético Madrid,Spain,La Liga,https://sofifa.com/team/240/atletico-madrid/150059/,240,4-4-2 Flat,80,81,78,79,€35M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,18,19,33,25.73,24.33,2015
9,Liverpool,England,Premier League,https://sofifa.com/team/9/liverpool/150059/,9,5-2-3,79,79,78,75,€40M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,18,33,23.0,22.91,2015
52,Roma,Italy,Serie A,https://sofifa.com/team/52/roma/150059/,52,4-3-3 Holding,79,78,81,77,€30M,€0,Fast,Little,Mixed,Organised,Normal,Risky,Normal,Free form,Press,Medium,Normal,Cover,17,17,32,27.91,25.91,2015
461,Valencia CF,Spain,La Liga,https://sofifa.com/team/461/valencia-cf/150059/,461,4-3-3 Holding,79,81,79,77,€20M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,16,29,25.0,22.66,2015
7,Everton,England,Premier League,https://sofifa.com/team/7/everton/150059/,7,4-2-3-1 Wide,78,78,78,78,€14M,€0,Balanced,Normal,Mixed,Organised,Little,Normal,Normal,Organised,Press,Medium,Normal,Cover,14,16,33,26.36,24.97,2015
18,Tottenham Hotspur,England,Premier League,https://sofifa.com/team/18/tottenham-hotspur/150059/,18,4-2-3-1 Wide,78,78,77,77,€26M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,17,33,23.45,22.55,2015
34,FC Schalke 04,Germany,Bundesliga,https://sofifa.com/team/34/fc-schalke-04/150059/,34,4-2-3-1 Wide,78,83,77,76,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,18,16,33,24.27,22.79,2015
48,Napoli,Italy,Serie A,https://sofifa.com/team/48/napoli/150059/,48,4-2-3-1 Narrow,78,84,78,76,€26M,€0,Balanced,Lots,Mixed,Organised,Normal,Risky,Lots,Organised,Press,Medium,Normal,Offside trap,16,17,32,26.55,25.03,2015
175,VfL Wolfsburg,Germany,Bundesliga,https://sofifa.com/team/175/vfl-wolfsburg/150059/,175,4-2-3-1 Wide,78,77,78,76,€25M,€0,Fast,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,16,16,27,25.55,24.59,2015
481,Sevilla FC,Spain,La Liga,https://sofifa.com/team/481/sevilla-fc/150059/,481,4-2-3-1 Wide,78,79,76,77,€18M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,17,33,25.36,23.97,2015
23,Borussia Mönchengladbach,Germany,Bundesliga,https://sofifa.com/team/23/borussia-monchengladbach/150059/,23,4-4-1-1 Attack,77,76,74,76,€10M,€0,Slow,Normal,Short,Organised,Little,Normal,Normal,Free form,Press,Medium,Normal,Cover,15,14,28,24.73,24.25,2015
110374,Fiorentina,Italy,Serie A,https://sofifa.com/team/110374/fiorentina/150059/,110374,4-3-3 Flat,77,77,77,76,€16M,€0,Balanced,Normal,Short,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,16,16,31,27.91,26.1,2015
44,Inter,Italy,Serie A,https://sofifa.com/team/44/inter/150059/,44,4-3-1-2,77,78,74,76,€20M,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,18,33,25.27,24.55,2015
46,Lazio,Italy,Serie A,https://sofifa.com/team/46/lazio/150059/,46,4-3-2-1,77,78,75,75,€15M,€0,Fast,Normal,Mixed,Organised,Lots,Risky,Lots,Free form,Press,Medium,Normal,Cover,16,17,33,26.36,26.15,2015
47,AC Milan,Italy,Serie A,https://sofifa.com/team/47/ac-milan/150059/,47,4-3-1-2,77,77,76,76,€12M,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,20,18,33,27.55,26.15,2015
69,AS Monaco,France,Ligue 1,https://sofifa.com/team/69/as-monaco/150059/,69,4-2-3-1 Wide,77,77,75,74,€75M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Press,Medium,Normal,Cover,13,15,31,25.0,23.23,2015
448,Athletic Club,Spain,La Liga,https://sofifa.com/team/448/athletic-club/150059/,448,4-3-3 Attack,77,77,77,77,€10.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,15,16,32,26.36,24.06,2015
1806,Stoke City,England,Premier League,https://sofifa.com/team/1806/stoke-city/150059/,1806,4-1-4-1,76,76,75,74,€16M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,14,33,26.55,24.97,2015
17,Southampton,England,Premier League,https://sofifa.com/team/17/southampton/150059/,17,4-2-3-1 Wide,76,77,75,76,€11M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Little,Organised,Press,Medium,Normal,Cover,11,13,33,26.18,22.82,2015
32,Bayer 04 Leverkusen,Germany,Bundesliga,https://sofifa.com/team/32/bayer-04-leverkusen/150059/,32,4-2-3-1 Wide,76,78,77,74,€18M,€0,Fast,Little,Mixed,Organised,Normal,Risky,Normal,Organised,Double,Medium,Normal,Cover,16,16,23,23.64,23.43,2015
66,Olympique Lyonnais,France,Ligue 1,https://sofifa.com/team/66/olympique-lyonnais/150059/,66,4-1-2-1-2 Narrow,76,78,75,74,€13M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,18,16,33,24.09,22.79,2015
457,Real Sociedad,Spain,La Liga,https://sofifa.com/team/457/real-sociedad/150059/,457,4-3-3 Attack,76,78,76,76,€6.3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,16,15,33,25.73,24.06,2015
219,Olympique de Marseille,France,Ligue 1,https://sofifa.com/team/219/olympique-de-marseille/150059/,219,4-2-3-1 Wide,76,76,76,72,€15M,€0,Balanced,Lots,Mixed,Organised,Lots,Normal,Little,Organised,Press,Medium,Normal,Cover,20,16,31,23.0,22.1,2015
483,Villarreal CF,Spain,La Liga,https://sofifa.com/team/483/villarreal-cf/150059/,483,4-4-2 Flat,76,78,76,74,€8M,€0,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,13,13,33,25.55,23.0,2015
2,Aston Villa,England,Premier League,https://sofifa.com/team/2/aston-villa/150059/,2,4-3-2-1,75,72,74,74,€11.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,15,15,33,25.36,24.73,2015
13,Newcastle United,England,Premier League,https://sofifa.com/team/13/newcastle-united/150059/,13,4-4-2 Holding,75,74,75,74,€17M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,15,16,33,26.27,23.52,2015
15,Queens Park Rangers,England,Premier League,https://sofifa.com/team/15/queens-park-rangers/150059/,15,4-4-2 Flat,75,74,74,71,€10M,€0,Slow,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,14,33,28.91,24.91,2015
19,West Ham United,England,Premier League,https://sofifa.com/team/19/west-ham-united/150059/,19,4-1-2-1-2 Narrow,75,75,74,72,€11M,€0,Fast,Normal,Mixed,Organised,Lots,Risky,Little,Organised,Press,Deep,Normal,Cover,13,14,33,25.64,24.45,2015
1819,AS Saint-Étienne,France,Ligue 1,https://sofifa.com/team/1819/as-saint-etienne/150059/,1819,5-2-3,75,75,72,74,€8M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,15,33,25.82,24.24,2015
28,Hamburger SV,Germany,Bundesliga,https://sofifa.com/team/28/hamburger-sv/150059/,28,4-4-2 Holding,75,76,73,72,€7.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,15,15,31,26.64,24.45,2015
10029,TSG 1899 Hoffenheim,Germany,Bundesliga,https://sofifa.com/team/10029/tsg-1899-hoffenheim/150059/,10029,4-3-2-1,75,78,74,73,€9M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,13,28,24.45,23.57,2015
65,Lille OSC,France,Ligue 1,https://sofifa.com/team/65/lille-osc/150059/,65,4-1-2-1-2 Narrow,75,73,75,74,€13M,€0,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,16,15,29,26.55,23.97,2015
1960,Swansea City,England,Premier League,https://sofifa.com/team/1960/swansea-city/150059/,1960,4-2-3-1 Wide,75,77,74,74,€9.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Deep,Normal,Cover,10,14,33,25.64,24.21,2015
1824,Eintracht Frankfurt,Germany,Bundesliga,https://sofifa.com/team/1824/eintracht-frankfurt/150059/,1824,4-4-2 Holding,74,77,70,73,€5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,12,26,25.18,23.35,2015
36,VfB Stuttgart,Germany,Bundesliga,https://sofifa.com/team/36/vfb-stuttgart/150059/,36,4-2-3-1 Wide,74,76,74,72,€6M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Narrow,Cover,14,14,31,25.0,23.29,2015
1837,Sampdoria,Italy,Serie A,https://sofifa.com/team/1837/sampdoria/150059/,1837,4-3-1-2,74,76,72,72,€9M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Press,Medium,Normal,Cover,14,11,30,24.64,24.43,2015
54,Torino,Italy,Serie A,https://sofifa.com/team/54/torino/150059/,54,3-1-4-2,74,75,73,76,€6M,€0,Fast,Lots,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,11,29,26.55,26.24,2015
59,FC Girondins de Bordeaux,France,Ligue 1,https://sofifa.com/team/59/fc-girondins-de-bordeaux/150059/,59,4-1-2-1-2 Narrow,74,72,74,72,€7M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,14,33,25.82,23.39,2015
573,Málaga CF,Spain,La Liga,https://sofifa.com/team/573/malaga-cf/150059/,573,4-2-3-1 Wide,74,74,73,74,€9M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Offside trap,10,15,32,27.64,23.91,2015
106,Sunderland,England,Premier League,https://sofifa.com/team/106/sunderland/150059/,106,4-2-3-1 Wide,74,76,73,72,€16M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,14,33,26.36,24.21,2015
109,West Bromwich Albion,England,Premier League,https://sofifa.com/team/109/west-bromwich-albion/150059/,109,4-1-4-1,74,74,74,71,€9.5M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,14,33,27.91,24.36,2015
166,Hertha BSC,Germany,Bundesliga,https://sofifa.com/team/166/hertha-bsc/150059/,166,4-2-3-1 Wide,74,76,74,73,€8M,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,12,27,25.09,25.48,2015
169,1. FSV Mainz 05,Germany,Bundesliga,https://sofifa.com/team/169/1-fsv-mainz-05/150059/,169,4-2-3-1 Wide,74,77,74,73,€4.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,12,31,24.45,23.77,2015
450,RC Celta,Spain,La Liga,https://sofifa.com/team/450/rc-celta/150059/,450,4-3-3 Attack,74,75,74,73,€2.9M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,12,12,33,25.55,22.64,2015
110556,Genoa,Italy,Serie A,https://sofifa.com/team/110556/genoa/150059/,110556,4-3-3 Flat,74,74,73,72,€18M,€0,Balanced,Normal,Long,Organised,Normal,Normal,Little,Organised,Press,Deep,Normal,Cover,16,14,29,25.09,24.14,2015
480,Rayo Vallecano,Spain,La Liga,https://sofifa.com/team/480/rayo-vallecano/150059/,480,4-2-3-1 Wide,74,75,73,75,€1.5M,€0,Slow,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,13,32,28.09,24.44,2015
485,Hannover 96,Germany,Bundesliga,https://sofifa.com/team/485/hannover-96/150059/,485,4-2-3-1 Wide,74,75,74,73,€8M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,13,33,25.64,24.39,2015
1799,Crystal Palace,England,Premier League,https://sofifa.com/team/1799/crystal-palace/150059/,1799,4-2-3-1 Wide,73,73,73,73,€9M,€0,Balanced,Normal,Long,Organised,Lots,Risky,Normal,Organised,Press,Medium,Normal,Cover,10,11,33,27.36,25.45,2015
38,SV Werder Bremen,Germany,Bundesliga,https://sofifa.com/team/38/sv-werder-bremen/150059/,38,4-1-2-1-2 Narrow,73,73,73,71,€3M,€0,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Wide,Cover,13,13,31,24.82,22.58,2015
39,Atalanta,Italy,Serie A,https://sofifa.com/team/39/atalanta/150059/,39,4-3-3 Flat,73,77,74,71,€6M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,13,28,28.36,28.07,2015
1843,Palermo FC,Italy,Serie A,https://sofifa.com/team/1843/palermo-fc/150059/,1843,4-2-3-1 Narrow,73,73,72,72,€9M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,12,28,24.73,24.61,2015
55,Udinese,Italy,Serie A,https://sofifa.com/team/55/udinese/150059/,55,3-1-4-2,73,73,73,73,€15M,€0,Fast,Normal,Mixed,Organised,Lots,Risky,Normal,Organised,Press,Medium,Normal,Cover,15,15,27,22.91,24.44,2015
100409,FC Augsburg,Germany,Bundesliga,https://sofifa.com/team/100409/fc-augsburg/150059/,100409,4-1-4-1,73,73,72,73,€3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,10,30,27.36,24.77,2015
1860,Getafe CF,Spain,La Liga,https://sofifa.com/team/1860/getafe-cf/150059/,1860,4-2-3-1 Wide,73,72,73,69,€7.3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,14,32,25.73,24.5,2015
74,Stade Rennais FC,France,Ligue 1,https://sofifa.com/team/74/stade-rennais-fc/150059/,74,4-2-3-1 Wide,73,74,71,74,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,14,13,25,25.55,24.64,2015
111974,Sassuolo,Italy,Serie A,https://sofifa.com/team/111974/sassuolo/150059/,111974,4-3-3 Flat,73,74,70,72,€5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,7,7,33,26.27,25.94,2015
