id,name,country,league,url,team_id,formation,overall,attack,midfield,defence,transfer_budget,club_worth,speed,dribbling,passing,positioning,crossing,passing_2,shooting,positioning_2,aggression,pressure,team_width,defender_line,domestic_prestige,international_prestige,players,starting_xi_avg_age,whole_team_avg_age
21,FC Bayern München,Germany,Bundesliga,https://sofifa.com/team/21/fc-bayern-munchen/180084/,21,4-1-4-1,86,91,85,86,€90M,€2.5B,Balanced,Normal,Short,Organised,Little,Safe,Little,Free form,Press,High,Narrow,Cover,10,10,32,27.82,24.06
243,Real Madrid,Spain,La Liga,https://sofifa.com/team/243/real-madrid/180084/,243,4-3-3 Holding,86,86,86,86,€99.8M,€3B,Slow,Normal,Mixed,Organised,Lots,Normal,Normal,Free form,Press,High,Normal,Cover,10,10,33,28.18,23.24
45,Juventus,Italy,Serie A,https://sofifa.com/team/45/juventus/180084/,45,4-3-3 Holding,85,87,84,84,€90M,€1.2B,Balanced,Little,Mixed,Organised,Normal,Safe,Normal,Free form,Press,High,Normal,Cover,10,10,25,28.64,27.80
241,FC Barcelona,Spain,La Liga,https://sofifa.com/team/241/fc-barcelona/180084/,241,4-4-2 Flat,85,93,84,84,€92M,€2.8B,Slow,Normal,Short,Free form,Normal,Normal,Normal,Free form,Double,High,Normal,Cover,10,10,22,26.64,25.73
10,Manchester City,England,Premier League,https://sofifa.com/team/10/manchester-city/180084/,10,4-3-3 Holding,84,85,87,83,€150M,€3B,Slow,Normal,Short,Free form,Normal,Normal,Little,Free form,Press,Medium,Normal,Cover,10,9,33,27.09,23.09
5,Chelsea,England,Premier League,https://sofifa.com/team/5/chelsea/180084/,5,5-2-3,83,84,86,82,€93.4M,€2.5B,Balanced,Normal,Mixed,Organised,Normal,Safe,Normal,Organised,Press,High,Normal,Cover,10,10,33,26.27,23.85
11,Manchester United,England,Premier League,https://sofifa.com/team/11/manchester-united/180084/,11,4-3-3 Holding,83,85,83,81,€169.2M,€3.6B,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Free form,Press,Medium,Normal,Cover,10,10,33,26.55,23.39
18,Tottenham Hotspur,England,Premier League,https://sofifa.com/team/18/tottenham-hotspur/180084/,18,4-2-3-1 Wide,83,85,83,82,€71.4M,€2.3B,Balanced,Little,Mixed,Organised,Little,Safe,Little,Organised,Press,High,Normal,Cover,9,8,33,25.09,23.27
73,Paris Saint-Germain,France,Ligue 1,https://sofifa.com/team/73/paris-saint-germain/180084/,73,4-3-3 Holding,83,86,82,82,€130M,€2.8B,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,High,Normal,Cover,10,10,29,25.45,23.79
240,Atlético Madrid,Spain,La Liga,https://sofifa.com/team/240/atletico-madrid/180084/,240,4-4-2 Flat,83,85,82,83,€60M,€1.2B,Balanced,Lots,Mixed,Organised,Normal,Normal,Lots,Organised,Double,High,Wide,Cover,9,9,33,26.64,23.06
1,Arsenal,England,Premier League,https://sofifa.com/team/1/arsenal/180084/,1,4-3-3 Holding,82,84,80,81,€90.7M,€2.4B,Slow,Normal,Short,Organised,Normal,Safe,Normal,Free form,Press,High,Narrow,Cover,9,9,33,27.55,23.24
