gameID,teamID,season,date,location,goals,xGoals,shots,shotsOnTarget,deep,ppda,fouls,corners,yellowCards,redCards,result
4399,75,2014,2015-05-02 12:45:00,h,3,4.02694,19,7,7,7.4091,10,10,1.0,0,W
4399,86,2014,2015-05-02 12:45:00,a,0,0.485003,12,3,5,4.92,13,7,2.0,2,L
4400,87,2014,2015-05-02 15:00:00,h,2,2.28745,25,8,9,5.381,9,9,2.0,0,W
4400,202,2014,2015-05-02 15:00:00,a,1,0.386314,10,2,1,10.2609,18,6,3.0,1,L
4401,71,2014,2015-05-02 15:00:00,h,3,1.56179,11,4,3,8.1429,13,5,2.0,0,W
4401,72,2014,2015-05-02 15:00:00,a,2,1.4049,9,5,5,18.8182,12,3,1.0,0,L
4402,77,2014,2015-05-02 15:00:00,h,2,1.97694,12,6,2,11.0417,12,1,2.0,0,W
4402,74,2014,2015-05-02 15:00:00,a,1,0.906357,11,2,2,10.1,13,1,2.0,1,L
4403,84,2014,2015-05-02 15:00:00,h,2,2.07645,17,4,9,11.6,9,6,1.0,0,W
4403,85,2014,2015-05-02 15:00:00,a,0,0.324134,9,3,6,8.6538,18,2,2.0,1,L
4404,81,2014,2015-05-02 15:00:00,h,1,3.23925,29,7,10,9.8235,11,13,3.0,0,W
4404,92,2014,2015-05-02 15:00:00,a,0,0.758485,9,2,8,10.8571,7,3,2.0,1,L
4405,89,2014,2015-05-02 17:30:00,h,0,2.10841,26,9,19,2.5556,10,9,1.0,0,L
4405,76,2014,2015-05-02 17:30:00,a,1,0.317533,6,3,2,21.2857,11,3,0.0,0,W
4406,80,2014,2015-05-03 13:30:00,h,1,1.5619,17,7,9,4.1429,12,3,2.0,0,W
4406,78,2014,2015-05-03 13:30:00,a,0,0.41646,8,1,7,10.1923,13,6,2.0,0,L
4407,82,2014,2015-05-03 16:00:00,h,0,2.07027,21,5,7,7.7778,6,8,3.0,0,L
4407,88,2014,2015-05-03 16:00:00,a,1,1.80612,15,4,11,8.7333,11,7,4.0,0,W
4408,91,2014,2015-05-04 20:00:00,h,1,0.474706,8,1,0,22.65,8,0,2.0,0,L
4408,83,2014,2015-05-04 20:00:00,a,3,2.94938,22,9,18,6.48,11,5,0.0,0,W
4409,72,2014,2015-05-09 12:45:00,h,0,1.14341,22,4,18,4.7059,10,15,2.0,0,L
4409,77,2014,2015-05-09 12:45:00,a,2,1.19799,10,3,2,15.5714,9,1,3.0,0,W
4410,91,2014,2015-05-09 15:00:00,h,0,1.12811,21,3,6,8.25,16,9,1.0,0,L
4410,92,2014,2015-05-09 15:00:00,a,1,1.21303,8,2,8,11.8889,12,3,1.0,0,W
4411,71,2014,2015-05-09 15:00:00,h,1,1.26585,14,5,9,12.8571,6,2,1.0,0,W
4411,81,2014,2015-05-09 15:00:00,a,0,0.149381,6,1,2,12.1111,13,6,1.0,0,L
4412,75,2014,2015-05-09 15:00:00,h,2,1.64129,10,3,5,13.9091,12,4,1.0,0,W
4412,74,2014,2015-05-09 15:00:00,a,0,0.348109,10,3,8,3.6667,10,8,0.0,0,L
4413,86,2014,2015-05-09 15:00:00,h,1,1.23706,15,5,2,4.7568,11,7,2.0,0,D
4413,76,2014,2015-05-09 15:00:00,a,1,1.21081,8,3,3,10.4762,17,2,3.0,0,D
4414,85,2014,2015-05-09 15:00:00,h,3,2.138,16,8,5,12.5294,14,6,0.0,0,W
4414,82,2014,2015-05-09 15:00:00,a,0,0.298008,9,3,7,9.9,12,8,0.0,1,L
4415,78,2014,2015-05-09 17:30:00,h,1,1.04344,13,4,13,12.6,13,7,0.0,0,L
4415,89,2014,2015-05-09 17:30:00,a,2,2.29775,13,4,7,5.3,12,6,1.0,0,W
4416,88,2014,2015-05-10 13:30:00,h,6,5.35103,23,11,13,6.76,12,7,0.0,0,W
4416,202,2014,2015-05-10 13:30:00,a,0,0.872314,9,3,1,12.7619,7,4,1.0,0,L
4417,80,2014,2015-05-10 16:00:00,h,1,0.535272,8,3,8,10.7778,13,6,4.0,0,D
4417,87,2014,2015-05-10 16:00:00,a,1,1.33324,15,4,6,10.2727,11,4,3.0,0,D
4418,83,2014,2015-05-11 20:00:00,h,0,1.88364,23,9,12,6.9688,7,6,0.0,0,L
4418,84,2014,2015-05-11 20:00:00,a,1,0.347185,8,3,0,28.7857,10,1,1.0,0,W
4419,74,2014,2015-05-16 12:45:00,h,6,3.59558,18,11,6,10.5357,19,6,1.0,0,W
4419,71,2014,2015-05-16 12:45:00,a,1,1.18593,9,4,3,18.875,7,3,1.0,0,L
4420,202,2014,2015-05-16 15:00:00,h,2,0.470106,8,4,2,2.95,12,3,2.0,0,W
4420,86,2014,2015-05-16 15:00:00,a,1,2.11207,22,8,10,4.0,8,12,0.0,0,L
4421,77,2014,2015-05-16 15:00:00,h,0,0.935248,13,3,7,5.1667,14,8,4.0,0,D
4421,75,2014,2015-05-16 15:00:00,a,0,0.682972,11,0,1,4.68,15,9,1.0,0,D
4422,82,2014,2015-05-16 15:00:00,h,2,1.70119,10,3,9,9.32,10,6,3.0,0,W
