playerID,playerName,teamsIDS,teamsNames
1,Christian Mathenia,118|127|234,Hamburger SV|Darmstadt|Nuernberg
2,György Garics,127,Darmstadt
3,Luca Caldirola,123|127,Werder Bremen|Darmstadt
4,Aytac Sulu,127,Darmstadt
5,Fabian Holland,127,Darmstadt
6,Marcel Heller,121|127,Augsburg|Darmstadt
7,Florian Jungwirth,127,Darmstadt
8,Jérôme Gondorf,123|127|135,Werder Bremen|Darmstadt|Freiburg
9,Tobias Kempe,127,Darmstadt
10,Jan Rosenthal,127,Darmstadt
11,Sandro Wagner,117|120|127,Bayern Munich|Hoffenheim|Darmstadt
12,Mario Vrancic,79|127,Norwich|Darmstadt
13,Konstantin Rausch,127|134,Darmstadt|FC Cologne
14,Marco Sailer,127,Darmstadt
15,Júnior Díaz,127,Darmstadt
16,Dominik Stroh-Engel,127,Darmstadt
18,Slobodan Rajkovic,100|127,Palermo|Darmstadt
19,Rune Jarstein,122,Hertha Berlin
20,Yanni Regäsel,122|132,Hertha Berlin|Eintracht Frankfurt
21,Sebastian Langkamp,122|123,Hertha Berlin|Werder Bremen
22,John Brooks,122|131,Hertha Berlin|Wolfsburg
23,Marvin Plattenhardt,122,Hertha Berlin
24,Per Skjelbred,122,Hertha Berlin
25,Fabian Lustenberger,122,Hertha Berlin
26,Salomon Kalou,122,Hertha Berlin
27,Vladimir Darida,122,Hertha Berlin
28,Mitchell Weiser,119|122,Bayer Leverkusen|Hertha Berlin
29,Vedad Ibisevic,122,Hertha Berlin
30,Jens Hegeler,122,Hertha Berlin
31,Johannes van den Bergh,122,Hertha Berlin
32,Valentin Stocker,122,Hertha Berlin
34,Alexander Baumjohann,122,Hertha Berlin
35,Genki Haraguchi,122|128,Hertha Berlin|Hannover 96
36,Roy Beerens,122,Hertha Berlin
37,Loris Karius,87|125,Liverpool|Mainz 05
38,Daniel Brosinski,125,Mainz 05
39,Niko Bungert,125,Mainz 05
40,Stefan Bell,125,Mainz 05
41,Pierre Bengtsson,125|162,Mainz 05|SC Bastia
42,Julian Baumgartlinger,119|125,Bayer Leverkusen|Mainz 05
43,Danny Latza,125,Mainz 05
44,Pablo De Blasis,125|156,Mainz 05|Eibar
45,Yunus Malli,125|131|240,Mainz 05|Wolfsburg|Union Berlin
46,Jairo Samperio,125|144,Mainz 05|Las Palmas
47,Yoshinori Muto,86|125,Newcastle United|Mainz 05
48,Jhon Córdoba,125|134,Mainz 05|FC Cologne
49,Christian Clemens,125|134,Mainz 05|FC Cologne
50,Gonzalo Jara,125,Mainz 05
51,Jannik Huth,125|205,Mainz 05|Paderborn
52,Alexander Hack,125,Mainz 05
53,Maximilian Beister,125,Mainz 05
54,Christoph Moritz,125,Mainz 05
55,Przemyslaw Tyton,133|139,VfB Stuttgart|Deportivo La Coruna
56,Daniel Schwaab,133,VfB Stuttgart
57,Toni Sunjic,100|133,Palermo|VfB Stuttgart
58,Georg Niedermeier,133|135,VfB Stuttgart|Freiburg
59,Emiliano Insúa,133,VfB Stuttgart
60,Christian Gentner,133|240,VfB Stuttgart|Union Berlin
61,Geoffroy Serey Dié,133,VfB Stuttgart
62,Lukas Rupp,79|120|133,Norwich|Hoffenheim|VfB Stuttgart
63,Alexandru Maxim,125|133,Mainz 05|VfB Stuttgart
64,Filip Kostic,118|132|133,Hamburger SV|Eintracht Frankfurt|VfB Stuttgart
65,Timo Werner,133|136,VfB Stuttgart|RasenBallsport Leipzig
66,Robbie Kruse,119|133,Bayer Leverkusen|VfB Stuttgart
67,Adam Hlousek,133,VfB Stuttgart
68,Boris Tashchy,133,VfB Stuttgart
69,Carlos Gruezo,121|133,Augsburg|VfB Stuttgart
70,Philip Heise,133,VfB Stuttgart
71,Timo Baumgartl,133,VfB Stuttgart
73,Oliver Baumann,120,Hoffenheim
74,Pavel Kaderábek,120,Hoffenheim
75,Niklas Süle,117|120,Bayern Munich|Hoffenheim
76,Fabian Schär,86|120|139,Newcastle United|Hoffenheim|Deportivo La Coruna
77,Jin-Su Kim,120,Hoffenheim
78,Tarik Elyounoussi,120,Hoffenheim
79,Tobias Strobl,120|130,Hoffenheim|Borussia M.Gladbach
80,Pirmin Schwegler,120|128,Hoffenheim|Hannover 96
81,Jonathan Schmid,120|121|135,Hoffenheim|Augsburg|Freiburg
82,Nadiem Amiri,119|120,Bayer Leverkusen|Hoffenheim
83,Kevin Volland,119|120,Bayer Leverkusen|Hoffenheim
84,Ermin Bicakcic,120,Hoffenheim
85,Eduardo Vargas,120,Hoffenheim
86,Eugen Polanski,120,Hoffenheim
87,Joelinton,86|120,Newcastle United|Hoffenheim
88,Mark Uth,120|124|134,Hoffenheim|Schalke 04|FC Cologne
90,Sebastian Rudy,117|120|124,Bayern Munich|Hoffenheim|Schalke 04
91,Ron-Robert Zieler,75|128|133,Leicester|Hannover 96|VfB Stuttgart
92,Hiroki Sakai,128|164,Hannover 96|Marseille
93,Marcelo,128|178,Hannover 96|Lyon
94,Christian Schulz,128,Hannover 96
95,Miiko Albornoz,128,Hannover 96
96,Salif Sané,124|128,Schalke 04|Hannover 96
97,Ceyhun Gülselam,128,Hannover 96
98,Kenan Karaman,128|233,Hannover 96|Fortuna Duesseldorf
99,Leon Andreasen,128,Hannover 96
100,Edgar Prib,128,Hannover 96
101,Allan Saint-Maximin,86|128|162|170|171,Newcastle United|Hannover 96|SC Bastia|Nice|Monaco
102,Mike-Steven Bähre,128,Hannover 96
103,Charlison Benschop,128,Hannover 96
104,Mevlüt Erdinc,128|169|180,Hannover 96|Guingamp|Metz
105,Felipe,128,Hannover 96
106,Waldemar Anton,128,Hannover 96
107,Philipp Tschauner,128,Hannover 96
108,Manuel Schmiedebach,128|240,Hannover 96|Union Berlin
109,Felix Wiedwald,123|132,Werder Bremen|Eintracht Frankfurt
110,Theodor Gebre Selassie,123,Werder Bremen
111,Jannik Vestergaard,74|123|130,Southampton|Werder Bremen|Borussia M.Gladbach
