nombreSofifa,nombrefbdb,idSofifa,idfbdb,idFinal
L. Messi,Lionel Messi,158023,2097,1
Cristiano Ronaldo,Cristiano Ronaldo,20801,2371,2
M. Neuer,Manuel Neuer,167495,217,3
L. Suárez,Luis Suárez,176580,2098,4
Neymar,Neymar,190871,2099,5
Z. Ibrahimović,Zlatan Ibrahimovic,41236,1741,6
A. Robben,Arjen Robben,9014,392,7
M. Özil,Mesut Özil,176635,499,8
E. Hazard,Eden Hazard,183277,701,9
S. Agüero,Sergio Agüero,153079,619,10
Thiago Silva,Thiago Silva,164240,3288,11
R. Lewandowski,Robert Lewandowski,188545,227,12
Iniesta,,41,,13
De Gea,David de Gea,193080,546,14
P. Lahm,Philipp Lahm,121939,218,15
J. Boateng,Jérôme Boateng,183907,220,16
Sergio Ramos,Sergio Ramos,155862,2246,17
G. Bale,Gareth Bale,173731,2251,18
L. Modrić,Luka Modric,177003,2250,19
T. Kroos,Toni Kroos,182521,2369,20
J. Rodríguez,James Rodríguez,198710,2249,21
P. Čech,Petr Cech,48940,491,22
A. Sánchez,Alexis Sánchez,184941,498,23
Cesc Fàbregas,Cesc Fàbregas,162895,686,24
T. Courtois,Thibaut Courtois,192119,680,25
David Silva,David Silva,168542,617,26
K. De Bruyne,Kevin De Bruyne,192985,447,27
Á. Di María,Ángel Di María,183898,3553,28
F. Ribéry,Franck Ribéry,156616,329,29
T. Müller,Thomas Müller,189596,224,30
M. Hummels,Mats Hummels,178603,373,31
M. Reus,Marco Reus,188350,319,32
G. Chiellini,Giorgio Chiellini,138956,1576,33
P. Pogba,Paul Pogba,195864,1740,34
G. Higuaín,Gonzalo Higuaín,167664,1293,35
D. Godín,Diego Godín,182493,2264,36
Sergio Busquets,Sergio Busquets,189511,2095,37
K. Benzema,Karim Benzema,165153,2370,38
Santi Cazorla,Santiago Cazorla,146562,965,39
Diego Costa,Diego Costa,179844,802,40
Y. Touré,Yaya Touré,20289,878,41
V. Kompany,Vincent Kompany,139720,612,42
W. Rooney,Wayne Rooney,54050,629,43
B. Schweinsteiger,Bastian Schweinsteiger,121944,907,44
H. Lloris,Hugo Lloris,167948,637,45
E. Cavani,Edinson Cavani,179813,3294,46
A. Vidal,Arturo Vidal,181872,222,47
D. Alaba,David Alaba,197445,391,48
H. Mkhitaryan,Henrikh Mkhitaryan,192883,317,49
Miranda,Miranda,168609,1507,50
A. Barzagli,Andrea Barzagli,137186,1286,51
Piqué,,152729,,52
I. Rakitić,Ivan Rakitic,168651,2094,53
L. Koscielny,Laurent Koscielny,165229,494,54
J. Terry,John Terry,13732,917,55
Coutinho,,189242,,56
J. Hart,Joe Hart,150724,609,57
N. Otamendi,Nicolás Otamendi,192366,611,58
B. Matuidi,Blaise Matuidi,170890,3296,59
J. Pastore,Javier Pastore,191180,3295,60
M. Verratti,Marco Verratti,199556,3552,61
Xabi Alonso,Xabi Alonso,45197,230,62
Javi Martinez,Javi Martínez,177610,225,63
M. Götze,Mario Götze,192318,422,64
İ. Gündoğan,,186942,,65
P. Aubameyang,Pierre-Emerick Aubameyang,188567,318,66
Naldo,Naldo,171919,147,67
S. Handanovič,Samir Handanovic,162835,1505,68
G. Buffon,Gianluigi Buffon,1179,1285,69
C. Marchisio,Claudio Marchisio,173210,1300,70
M. Pjanić,Miralem Pjanic,180206,1290,71
A. Griezmann,Antoine Griezmann,194765,2270,72
Dani Alves,Dani Alves,146530,1288,73
Jordi Alba,Jordi Alba,189332,2093,74
Pepe,Pepe,120533,2258,75
Isco,Isco,197781,2255,76
P. Mertesacker,Per Mertesacker,53612,507,77
Willian,Willian,180403,700,78
Pedro,Pedro,189505,687,79
N. Matić,Nemanja Matic,191202,697,80
D. Sturridge,Daniel Sturridge,171833,483,81
Juan Mata,Juan Mata,178088,554,82
C. Smalling,Chris Smalling,189881,628,83
C. Eriksen,Christian Eriksen,190460,646,84
D. Payet,Dimitri Payet,177388,536,85
A. Lacazette,Alexandre Lacazette,193301,3277,86
João Moutinho,João Moutinho,162347,3422,87
David Luiz,David Luiz,179944,1676,88
S. Mandanda,Steve Mandanda,163705,1670,89
S. Ruffier,Stéphane Ruffier,167628,3503,90
M. Benatia,Medhi Benatia,177509,328,91
Thiago,,189509,,92
Douglas Costa,Douglas Costa,190483,393,93
Sokratis,Sokratis,172879,371,94
B. Leno,Bernd Leno,192563,181,95
R. Fährmann,Ralf Fährmann,179783,330,96
B. Höwedes,Benedikt Höwedes,179784,333,97
Luiz Gustavo,Luiz Gustavo,185221,387,98
L. Bonucci,Leonardo Bonucci,184344,1287,99
R. Nainggolan,Radja Nainggolan,178518,1251,100
K. Manolas,Kostas Manolas,192774,1246,101
Koke,Koke,193747,2269,102
J. Mascherano,Javier Mascherano,142754,2091,103
A. Turan,Arda Turan,143745,2102,104
C. Bravo,Claudio Bravo,174543,1731,105
Marcelo,Marcelo,176676,2257,106
A. Laporte,Aymeric Laporte,212218,2498,107
O. Giroud,Olivier Giroud,178509,502,108
A. Ramsey,Aaron Ramsey,186561,504,109
G. Cahill,Gary Cahill,164468,699,110
Falcao,Falcao,167397,696,111
A. Begović,Asmir Begovic,172723,694,112
Azpilicueta,,184432,,113
Oscar,Oscar,188152,692,114
L. Baines,Leighton Baines,163631,588,115
R. Lukaku,Romelu Lukaku,192505,594,116
Roberto Firmino,Roberto Firmino,201942,482,117
P. Zabaleta,Pablo Zabaleta,142784,610,118
S. Nasri,Samir Nasri,165239,877,119
M. Schneiderlin,Morgan Schneiderlin,177358,551,120
J. Vertonghen,Jan Vertonghen,172871,640,121
T. Alderweireld,Toby Alderweireld,184087,639,122
H. Kane,Harry Kane,202126,647,123
A. Lopes,Anthony Lopes,199482,3269,124
J. Toulalan,Jérémy Toulalan,112253,3421,125
H. Ben Arfa,Hatem Ben Arfa,161648,3638,126
T. Motta,Thiago Motta,49370,3292,127
S. Sirigu,Salvatore Sirigu,168435,3301,128
K. Trapp,Kevin Trapp,188943,3286,129
L. Diarra,Lass Diarra,163711,3557,130
L. Perrin,Loic Perrin,159147,3689,131
S. Bender,Sven Bender,177458,311,132
S. Kagawa,Shinji Kagawa,189358,321,133
Y. Sommer,Yann Sommer,177683,199,134
G. Xhaka,Granit Xhaka,199503,204,135
L. Bender,Lars Bender,177457,421,136
J. Hernández,,178224,,137
K. Bellarabi,Karim Bellarabi,202857,186,138
R. Rodriguez,Ricardo Rodríguez,193352,308,139
J. Draxler,Julian Draxler,202166,152,140
S. Lichtsteiner,Stephan Lichtsteiner,108080,1303,141
M. Mandžukić,Mario Mandzukic,181783,1295,142
Alex Sandro,Alex Sandro,191043,1289,143
C. Bacca,Carlos Bacca,207664,1125,144
M. Hamšik,Marek Hamsik,171877,1381,145
L. Insigne,Lorenzo Insigne,198219,1393,146
D. De Rossi,Daniele De Rossi,53302,1249,147
K. Glik,Kamil Glik,190547,1800,148
Borja Valero,Borja Valero,161956,1422,149
Filipe Luís,Filipe Luis,164169,2265,150
J. Oblak,Jan Oblak,200389,2261,151
J. Mathieu,Jeremy Mathieu,112316,2101,152
M. ter Stegen,Marc-André ter Stegen,192448,2090,153
K. Navas,Keylor Navas,193041,2243,154
R. Varane,Raphael Varane,201535,2245,155
Carvajal,,204963,,156
Aduriz,Aduriz,106231,2410,157
Nolito,Nolito,199561,1732,158
Diego Alves,Diego Alves,165580,2373,159
Parejo,,189513,,160
S. Mustafi,Shkodran Mustafi,192227,1699,161
G. Krychowiak,Grzegorz Krychowiak,197242,2414,162
Y. Konoplyanka,Yevhen Konoplyanka,200641,2068,163
T. Walcott,Theo Walcott,164859,503,164
J. Wilshere,Jack Wilshere,189461,1036,165
P. Jagielka,Phil Jagielka,53914,587,166
S. Coleman,Seamus Coleman,180216,585,167
M. Škrtel,Martin Skrtel,166706,607,168
M. Sakho,Mamadou Sakho,183285,485,169
R. Sterling,Raheem Sterling,202652,618,170
Victor Valdés,,106573,,171
M. Darmian,Matteo Darmian,184392,557,172
Ander Herrera,Ander Herrera,191740,552,173
José Fonte,José Fonte,171791,834,174
R. Mahrez,Riyad Mahrez,204485,750,175
A. Williams,Ashley Williams,163824,709,176
V. Enyeama,Vincent Enyeama,139968,3353,177
D. Subašić,Danijel Subasic,192593,3416,178
S. Aurier,Serge Aurier,197853,3600,179
Lucas,,200949,,180
Marquinhos,Marquinhos,207865,3297,181
B. Costil,Benoit Costil,158121,3218,182
G. Castro,Gonzalo Castro,167431,316,183
N. Şahin,Nuri Sahin,170797,2642,184
Raffael,Raffael,144622,210,185
