idWikidata,nameWikidata,idSofifa,nameSofifa,idFinal
Q1028,Marruecos,,Morocco,1
Q142,Francia,,France,2
Q145,Reino Unido,,England,3
Q148,China,,China,4
Q183,Alemania,,Germany,5
Q191,Estonia,,Estonia,6
Q20,Noruega,,Norway,7
Q212,Ucrania,,Ukraine,8
Q221,Macedonia del Norte,,North Macedonia,9
Q227,Azerbaiyán,,Azerbaijan,10
Q28,Hungría,,Hungary,11
Q29,España,,Spain,12
Q38,Italia,,Italy,13
Q40,Austria,,Austria,14
Q43,Turquía,,Turkey,15
Q45,Portugal,,Portugal,16
Q851,Arabia Saudí,,Saudi Arabia,17
,,,Albania,18
,,,Algeria,19
,,,Angola,20
,,,Argentina,21
,,,Armenia,22
,,,Australia,23
,,,Bangladesh,24
,,,Belarus,25
,,,Belgium,26
,,,Benin,27
,,,Bermuda,28
,,,Bonaire,29
,,,Bosnia and Herzegovina,30
,,,Brazil,31
,,,Brunei Darussalam,32
,,,Bulgaria,33
,,,Burkina Faso,34
,,,Burundi,35
,,,Cabo Verde,36
,,,Cameroon,37
,,,Canada,38
,,,Central African Republic,39
,,,Chad,40
,,,Chile,41
,,,China PR,42
,,,Colombia,43
,,,Comoros,44
,,,Congo,45
,,,Congo DR,46
,,,Costa Rica,47
,,,Croatia,48
,,,Cuba,49
,,,Curacao,50
,,,Cyprus,51
,,,Czechia,52
,,,Côte d'Ivoire,53
,,,Denmark,54
,,,Dominican Republic,55
,,,Ecuador,56
,,,Egypt,57
,,,El Salvador,58
,,,Equatorial Guinea,59
,,,Finland,60
,,,French Guiana,61
,,,Gabon,62
,,,Gambia,63
,,,Georgia,64
,,,Ghana,65
,,,Greece,66
,,,Grenada,67
,,,Guadeloupe,68
,,,Guatemala,69
,,,Guinea,70
,,,Guinea-Bissau,71
,,,Guyana,72
,,,Haiti,73
,,,Honduras,74
,,,Iceland,75
,,,Indonesia,76
,,,Iran,77
,,,Iraq,78
,,,Israel,79
,,,Jamaica,80
,,,Japan,81
,,,Kazakhstan,82
,,,Kenya,83
,,,Korea DPR,84
,,,Korea Republic,85
,,,Kosovo,86
,,,Laos,87
,,,Latvia,88
,,,Lebanon,89
,,,Libya,90
,,,Liechtenstein,91
,,,Lithuania,92
,,,Luxembourg,93
,,,Macau,94
,,,Madagascar,95
,,,Mali,96
,,,Malta,97
,,,Martinique,98
,,,Mauritania,99
,,,Mauritius,100
,,,Mexico,101
,,,Moldova,102
,,,Monaco,103
,,,Montenegro,104
,,,Montserrat,105
,,,Mozambique,106
,,,Netherlands,107
,,,New Caledonia,108
,,,New Zealand,109
,,,Niger,110
,,,Nigeria,111
,,,Northern Ireland,112
,,,Pakistan,113
,,,Palestine,114
,,,Panama,115
,,,Paraguay,116
,,,Peru,117
,,,Philippines,118
,,,Poland,119
,,,Qatar,120
,,,Republic of Ireland,121
,,,Romania,122
,,,Russia,123
,,,Saint Kitts and Nevis,124
,,,Saint Martin (French part),125
,,,Scotland,126
,,,Senegal,127
,,,Serbia,128
,,,Sierra Leone,129
,,,Slovakia,130
,,,Slovenia,131
,,,South Africa,132
,,,Suriname,133
,,,Sweden,134
,,,Switzerland,135
,,,Syria,136
,,,Tanzania,137
,,,Togo,138
,,,Trinidad and Tobago,139
,,,Tunisia,140
,,,Türkiye,141
,,,Uganda,142
,,,United States,143
,,,Uruguay,144
,,,Venezuela,145
,,,Wales,146
,,,Zambia,147
,,,Zimbabwe,148
