nombreSofifa,nombrefbdb,nombreWikidata,idSofifa,idfbdb,idWikidata,idFinal
FC Bayern München,Bayern Munich,F. C. Bayern Múnich,21,117,Q15789,1
FC Barcelona,Barcelona,Fútbol Club Barcelona,241,148,Q7156,2
Real Madrid,Real Madrid,Real Madrid Club de Fútbol,243,150,Q8682,3
Chelsea,Chelsea,Chelsea Football Club,5,80,Q9616,4
Paris Saint-Germain,Paris Saint Germain,Paris Saint-Germain FC,73,161,Q483020,5
Arsenal,Arsenal,Arsenal Fútbol Club,1,83,Q9617,6
Manchester City,Manchester City,Manchester City Football Club,10,88,Q50602,7
Juventus,Juventus,Juventus,45,98,Q1422,8
Manchester United,Manchester United,Manchester United Football Club,11,89,Q18656,9
Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,22,129,Q41420,10
Atlético Madrid,Atletico Madrid,Atlético de Madrid,240,143,Q8701,11
Valencia CF,Valencia,Valencia Club de Fútbol,461,146,Q10333,12
Liverpool,Liverpool,Liverpool Fútbol Club,9,87,Q1130849,13
Tottenham Hotspur,Tottenham,,18,82,,14
Bayer 04 Leverkusen,Bayer Leverkusen,,32,119,,15
Inter,Inter,Eintracht Frankfurt,44,106,Q38245,16
Napoli,Napoli,Società Sportiva Calcio Napoli,48,105,Q2641,17
Roma,Roma,,52,95,,18
VfL Wolfsburg,Wolfsburg,,175,131,,19
Athletic Club,Athletic Club,Athletic Club,448,147,Q8687,20
Sevilla FC,Sevilla,Sevilla Fútbol Club,481,138,Q10329,21
Villarreal CF,Villarreal,,483,154,,22
Everton,Everton,,7,72,,23
Borussia Mönchengladbach,Borussia M.Gladbach,,23,130,,24
FC Schalke 04,Schalke 04,,34,124,,25
Lazio,Lazio,Società Sportiva Lazio,46,96,Q2609,26
AC Milan,AC Milan,A.C. Milan,47,111,Q1543,27
Newcastle United,Newcastle United,,13,86,,28
Stoke City,Stoke,Leicester City Football Club,1806,85,Q19481,29
Southampton,Southampton,A.S. Monaco F.C.,17,74,Q180305,30
West Ham United,West Ham,,19,81,,31
Fiorentina,Fiorentina,,110374,110,,32
AS Monaco,Monaco,,69,171,,34
Real Sociedad,Real Sociedad,Real Sociedad de Fútbol,457,140,Q10315,35
Crystal Palace,Crystal Palace,,1799,78,,36
AS Saint-Étienne,Saint-Etienne,,1819,175,,37
TSG 1899 Hoffenheim,Hoffenheim,,10029,120,,38
Torino,Torino,,54,113,,39
Málaga CF,Malaga,,573,137,,40
Leicester City,Leicester,,95,75,,41
Swansea City,Swansea,,1960,84,,42
Real Betis Balompié,Real Betis,,449,153,,43
RC Celta,Celta Vigo,,450,152,,44
Olympique de Marseille,Marseille,,219,164,,45
Aston Villa,Aston Villa,,2,71,,46
Watford,Watford,,1795,90,,47
Hamburger SV,Hamburger SV,,28,118,,48
Eintracht Frankfurt,Eintracht Frankfurt,,1824,132,,50
VfB Stuttgart,VfB Stuttgart,,36,133,,51
Sampdoria,Sampdoria,,1837,102,,52
Udinese,Udinese,,55,99,,53
FC Augsburg,Augsburg,,100409,121,,54
Levante UD,Levante,,1853,151,,55
Lille OSC,Lille,,65,160,,56
Sunderland,Sunderland,,106,77,,58
West Bromwich Albion,West Bromwich Albion,,109,76,,59
Hertha BSC,Hertha Berlin,,166,122,,60
1. FSV Mainz 05,Mainz 05,,169,125,,61
RCD Espanyol,Espanyol,,452,141,,62
Genoa,Genoa,,110556,101,,63
Rayo Vallecano,Rayo Vallecano,,480,145,,64
RC Deportivo de La Coruña,Deportivo La Coruna,,242,139,,65
Norwich City,Norwich,,1792,79,,66
SV Werder Bremen,Werder Bremen,,38,123,,67
Atalanta,Atalanta,,39,107,,68
FC Girondins de Bordeaux,Bordeaux,,59,176,,69
Getafe CF,Getafe,,1860,142,,70
OGC Nice,Nice,,72,170,,71
Sassuolo,Sassuolo,,111974,104,,72
Bologna,Bologna,,189,97,,73
Hannover 96,Hannover 96,,485,128,,75
Granada CF,Granada,,110832,155,,76
Toulouse FC,Toulouse,,1809,174,,77
En Avant Guingamp,Guingamp,,62,169,,78
Montpellier HSC,Montpellier,,70,166,,79
AFC Bournemouth,Bournemouth,,1943,73,,80
Real Sporting de Gijón,Sporting Gijon,,459,149,,81
Empoli,Empoli,,1746,108,,82
SD Eibar,Eibar,,467,156,,83
Carpi,Carpi,,112409,103,,84
Palermo FC,Palermo,,1843,100,,85
FC Nantes,Nantes,,71,168,,86
Stade de Reims,Reims,,379,177,,87
FC Ingolstadt 04,Ingolstadt,,111239,126,,88
Hellas Verona FC,Verona,,206,94,,89
UD Las Palmas,Las Palmas,,472,144,,90
FC Lorient,Lorient,,217,179,,91
SV Darmstadt 98,Darmstadt,,110502,127,,93
Angers SCO,Angers,,1530,167,,95
ESTAC Troyes,Troyes,,294,172,,96
Frosinone,Frosinone,,111657,112,,97
GFC Ajaccio,GFC Ajaccio,,110316,173,,98
Middlesbrough,Middlesbrough,,12,93,,99
CD Leganés,Leganes,,100888,159,,100
RB Leipzig,RasenBallsport Leipzig,,112172,136,,101
Hull City,Hull,,1952,91,,102
Deportivo Alavés,Alaves,,463,158,,103
Burnley,Burnley,,1796,92,,104
Cagliari,Cagliari,,1842,116,,105
SC Freiburg,Freiburg,,25,135,,106
CA Osasuna,Osasuna,,479,157,,107
FC Metz,Metz,,68,180,,108
Pescara,Pescara,,200,114,,109
Dijon FCO,Dijon,,110569,181,,110
AS Nancy Lorraine,Nancy,,1823,182,,111
Crotone,Crotone,,110734,115,,112
Brighton & Hove Albion,Brighton,,1808,220,,113
Girona FC,Girona,,110062,223,,114
Huddersfield Town,Huddersfield,,1939,219,,115
Amiens SC,Amiens,,1816,224,,116
SPAL,SPAL 2013,,112791,221,,117
RC Strasbourg Alsace,Strasbourg,,76,225,,118
Benevento,Benevento,,112026,222,,119
Wolverhampton Wanderers,Wolverhampton Wanderers,,110,229,,120
Fulham FC,Fulham,,144,228,,121
Real Valladolid CF,Real Valladolid,,462,231,,122
Fortuna Düsseldorf,Fortuna Duesseldorf,,110636,233,,123
Cardiff City,Cardiff,,1961,227,,125
1. FC Nürnberg,Nuernberg,,171,234,,127
SD Huesca,SD Huesca,,110839,232,,128
Sheffield United,Sheffield United,,1794,238,,129
RCD Mallorca,Mallorca,,453,239,,130
1. FC Union Berlin,Union Berlin,,1831,240,,131
Lecce,Lecce,,347,243,,132
Brescia,Brescia,,190,242,,134
SC Paderborn 07,Paderborn,,10030,205,,135
1. FC Köln,Bologna,,31,97,,49
Stade Rennais FC,Rennes,Stade Rennais Football Club,74,163,Q19509,57
AC ChievoVerona,Verona,,192,94,,74
Sporting Club Bastia,SC Bastia,,58,162,,92
Stade Malherbe Caen,Caen,,210,165,,94
Parma,Parma Calcio 1913,,50,230,,124
Nîmes Olympique,Nimes,,224,235,,126
Stade Brestois 29,Brest,,378,241,,133
Olympique Lyonnais,Lyon,,66,178,,33
